dataset_set,mass_GeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,cls_alpha,eps2_obs,p0_analytic,Z_analytic,eps2_lo2,eps2_lo1,eps2_med,eps2_hi1,eps2_hi2,eps2_mean,ul_eps2_obs,toy_eps2_uls_q02,toy_eps2_uls_q16,toy_eps2_uls_q50,toy_eps2_uls_q84,toy_eps2_uls_q97,toy_eps2_uls_mean,p_strong,p_weak,p_two,tail_count_strong_le_observed,tail_count_weak_ge_observed,tail_count_equal_observed,tail_count_two_sided_min,empirical_tail_resolution,meta,cls_statistic,cls_calibration,combined_mode,global_method,bands_refit_gp_on_toy,bands_train_exclude_nsigma,bands_refit_restarts,bands_refit_optimize,bands_seed_sequence_index,n_toys_requested,n_toys_finite,gp_lml_by_dataset,gp_ls_opt_by_dataset,gp_const_opt_by_dataset,gp_state_sha256_by_dataset,observed_gp_fit_mode,observed_gp_optimizer_restarts,limit_solver,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes,profile_cache_asimov_fixed_hits,profile_cache_asimov_fixed_misses
2015,0.029,0.0014511251288901,0.0014511251288901,0.1,8.39795864481337e-06,0.2958487354012595,0.5363778004489851,4.605112660499618e-06,5.24423863461497e-06,7.066487982133378e-06,1.0300114152140578e-05,1.3484671347111907e-05,7.710958994302672e-06,8.39795864481337e-06,4.605112660499618e-06,5.24423863461497e-06,7.066487982133378e-06,1.0300114152140578e-05,1.3484671347111907e-05,7.710958994302672e-06,0.6866666666666666,0.31333333333333335,0.6266666666666667,206,94,0,94,0.0033333333333333335,"[{""const_opt"": 52.79808549273994, ""dens"": 823046135.5837226, ""key"": ""2015"", ""lml"": 1076.441099262334, ""lml_delta"": -2.0311699699959718e-07, ""ls_opt"": 0.3575969641454719, ""reviewed_lml"": 1076.441099465451, ""sigma"": 0.0014511251288901, ""state_sha256"": ""b83cee0e17b8702ec00f63536f3b8488acae5acda7041c99df641f307e4b375c""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,10,300,300,"{""2015"": 1076.441099262334}","{""2015"": 0.3575969641454719}","{""2015"": 52.79808549273994}","{""2015"": ""b83cee0e17b8702ec00f63536f3b8488acae5acda7041c99df641f307e4b375c""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3800,3005,3800
2015,0.03,0.0015043442127557999,0.0015043442127557999,0.1,1.023124658847981e-05,0.1291357096850267,1.1304861780495934,4.378663201262197e-06,5.039789548670972e-06,6.515271667850963e-06,9.321949487781889e-06,1.3858966857387809e-05,7.1240206444199156e-06,1.023124658847981e-05,4.378663201262197e-06,5.039789548670972e-06,6.515271667850963e-06,9.321949487781889e-06,1.3858966857387809e-05,7.1240206444199156e-06,0.8966666666666666,0.10333333333333333,0.20666666666666667,269,31,0,31,0.0033333333333333335,"[{""const_opt"": 55.669535581264306, ""dens"": 822008895.937668, ""key"": ""2015"", ""lml"": 1066.70684583366, ""lml_delta"": -1.4064812603464816e-07, ""ls_opt"": 0.3628488513309133, ""reviewed_lml"": 1066.7068459743082, ""sigma"": 0.0015043442127557999, ""state_sha256"": ""3c3b9333983c07f1110b5b3185d5aed4cdf9462354ea74dedfcbbc0e94f04e8f""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,11,300,300,"{""2015"": 1066.70684583366}","{""2015"": 0.3628488513309133}","{""2015"": 55.669535581264306}","{""2015"": ""3c3b9333983c07f1110b5b3185d5aed4cdf9462354ea74dedfcbbc0e94f04e8f""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3788,3028,3788
2015,0.031,0.0015575632966214998,0.0015575632966214998,0.1,8.58777369557878e-06,0.24762900261473264,0.6819698664427923,4.151257827976779e-06,5.002336250911322e-06,6.574974927221259e-06,9.746732175552227e-06,1.3633306739371163e-05,7.317464443586984e-06,8.58777369557878e-06,4.151257827976779e-06,5.002336250911322e-06,6.574974927221259e-06,9.746732175552227e-06,1.3633306739371163e-05,7.317464443586984e-06,0.71,0.29,0.58,213,87,0,87,0.0033333333333333335,"[{""const_opt"": 53.65388371836952, ""dens"": 814302946.6626806, ""key"": ""2015"", ""lml"": 1063.9683131627821, ""lml_delta"": -1.7356865100737195e-07, ""ls_opt"": 0.3587365403918236, ""reviewed_lml"": 1063.9683133363508, ""sigma"": 0.0015575632966214998, ""state_sha256"": ""8840b2e03f9f83ed671cf5a48feb834ceb9da2492e533d54b84422925bc71c9a""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,12,300,300,"{""2015"": 1063.9683131627821}","{""2015"": 0.3587365403918236}","{""2015"": 53.65388371836952}","{""2015"": ""8840b2e03f9f83ed671cf5a48feb834ceb9da2492e533d54b84422925bc71c9a""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3773,3009,3773
2015,0.032,0.0016107823804872,0.0016107823804872,0.1,6.499028153551335e-06,0.5,0.0,4.123973350632164e-06,4.977542121825127e-06,6.498093566835678e-06,9.203009586140873e-06,1.2069553724338241e-05,6.96353606575979e-06,6.499028153551335e-06,4.123973350632164e-06,4.977542121825127e-06,6.498093566835678e-06,9.203009586140873e-06,1.2069553724338241e-05,6.96353606575979e-06,0.5,0.5,1.0,150,150,0,150,0.0033333333333333335,"[{""const_opt"": 53.600317580777975, ""dens"": 800432354.0283093, ""key"": ""2015"", ""lml"": 1064.3351452141974, ""lml_delta"": 0.0, ""ls_opt"": 0.3590113268961968, ""reviewed_lml"": 1064.3351452141974, ""sigma"": 0.0016107823804872, ""state_sha256"": ""61cdc0216f77701b078869d568f13f3c2924442606cf97542537872a0bb0c19d""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,13,300,300,"{""2015"": 1064.3351452141974}","{""2015"": 0.3590113268961968}","{""2015"": 53.600317580777975}","{""2015"": ""61cdc0216f77701b078869d568f13f3c2924442606cf97542537872a0bb0c19d""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3747,3066,3747
2015,0.033,0.0016640014643529,0.0016640014643529,0.1,5.039214999647856e-06,0.5,0.0,4.198138371380665e-06,4.969855950867205e-06,6.481324089396001e-06,9.368557199136099e-06,1.2640261664691799e-05,7.175705797589045e-06,5.039214999647856e-06,4.198138371380665e-06,4.969855950867205e-06,6.481324089396001e-06,9.368557199136099e-06,1.2640261664691799e-05,7.175705797589045e-06,0.19666666666666666,0.8033333333333333,0.3933333333333333,59,241,0,59,0.0033333333333333335,"[{""const_opt"": 52.4094309018401, ""dens"": 781756301.0638617, ""key"": ""2015"", ""lml"": 1056.2302992251562, ""lml_delta"": -1.2152440831414424e-07, ""ls_opt"": 0.3570034455670367, ""reviewed_lml"": 1056.2302993466806, ""sigma"": 0.0016640014643529, ""state_sha256"": ""735ed2b16c84f58b8120b5749d2658a4157dfd506541c3733583c7847ce7447b""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,14,300,300,"{""2015"": 1056.2302992251562}","{""2015"": 0.3570034455670367}","{""2015"": 52.4094309018401}","{""2015"": ""735ed2b16c84f58b8120b5749d2658a4157dfd506541c3733583c7847ce7447b""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3758,3024,3758
2015,0.034,0.0017172205482186,0.0017172205482186,0.1,4.503084940491807e-06,0.5,0.0,4.17699830899703e-06,5.065382043012351e-06,6.838204926216892e-06,9.509937210647283e-06,1.2710157027646013e-05,7.290773976317787e-06,4.503084940491807e-06,4.17699830899703e-06,5.065382043012351e-06,6.838204926216892e-06,9.509937210647283e-06,1.2710157027646013e-05,7.290773976317787e-06,0.07333333333333333,0.9266666666666666,0.14666666666666667,22,278,0,22,0.0033333333333333335,"[{""const_opt"": 54.03492341972004, ""dens"": 759251610.420538, ""key"": ""2015"", ""lml"": 1056.5206332351695, ""lml_delta"": -4.4765783968614414e-08, ""ls_opt"": 0.3608408913183678, ""reviewed_lml"": 1056.5206332799353, ""sigma"": 0.0017172205482186, ""state_sha256"": ""d401bbdfb00e49a060f87a5ce3b1fedb6846ee94e6283168bd9f46ec3006e3c2""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,15,300,300,"{""2015"": 1056.5206332351695}","{""2015"": 0.3608408913183678}","{""2015"": 54.03492341972004}","{""2015"": ""d401bbdfb00e49a060f87a5ce3b1fedb6846ee94e6283168bd9f46ec3006e3c2""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3789,3032,3789
2015,0.035,0.0017704396320843,0.0017704396320843,0.1,4.3090932589142466e-06,0.5,0.0,4.352836845800779e-06,5.025042618980509e-06,6.928226804341511e-06,9.619655801749045e-06,1.2670688704516025e-05,7.2886153095108925e-06,4.3090932589142466e-06,4.352836845800779e-06,5.025042618980509e-06,6.928226804341511e-06,9.619655801749045e-06,1.2670688704516025e-05,7.2886153095108925e-06,0.023333333333333334,0.9766666666666667,0.04666666666666667,7,293,0,7,0.0033333333333333335,"[{""const_opt"": 56.12166313678857, ""dens"": 733146781.9259496, ""key"": ""2015"", ""lml"": 1049.1347524633345, ""lml_delta"": -2.3739858079352416e-07, ""ls_opt"": 0.3673791350160184, ""reviewed_lml"": 1049.134752700733, ""sigma"": 0.0017704396320843, ""state_sha256"": ""0bd154b413a27ac09c500a047caada1f06d07a768056f8ed1193064514e7cdad""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,16,300,300,"{""2015"": 1049.1347524633345}","{""2015"": 0.3673791350160184}","{""2015"": 56.12166313678857}","{""2015"": ""0bd154b413a27ac09c500a047caada1f06d07a768056f8ed1193064514e7cdad""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3742,3061,3742
2015,0.036,0.0018236587159499997,0.0018236587159499997,0.1,5.397785863597617e-06,0.5,0.0,4.232082939257153e-06,4.9001998985681714e-06,6.473273135993507e-06,9.082029519091627e-06,1.2523171472946174e-05,6.923086062905773e-06,5.397785863597617e-06,4.232082939257153e-06,4.9001998985681714e-06,6.473273135993507e-06,9.082029519091627e-06,1.2523171472946174e-05,6.923086062905773e-06,0.2833333333333333,0.7166666666666667,0.5666666666666667,85,215,0,85,0.0033333333333333335,"[{""const_opt"": 53.65512935341233, ""dens"": 704234099.8449053, ""key"": ""2015"", ""lml"": 1050.5993076628067, ""lml_delta"": -1.2618602340808138e-07, ""ls_opt"": 0.358952611661344, ""reviewed_lml"": 1050.5993077889927, ""sigma"": 0.0018236587159499997, ""state_sha256"": ""0431a6d5a1e596a177680faff7b91684ef92402c0dfffaba481ffe50eaffffdc""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,17,300,300,"{""2015"": 1050.5993076628067}","{""2015"": 0.358952611661344}","{""2015"": 53.65512935341233}","{""2015"": ""0431a6d5a1e596a177680faff7b91684ef92402c0dfffaba481ffe50eaffffdc""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3765,3038,3765
2015,0.037,0.0018768777998156997,0.0018768777998156997,0.1,7.58231184821308e-06,0.3755955047231654,0.3170693125655567,4.350872779945677e-06,4.925974207205291e-06,6.527508163572129e-06,9.487401327032961e-06,1.2573790967659137e-05,7.154906562406793e-06,7.58231184821308e-06,4.350872779945677e-06,4.925974207205291e-06,6.527508163572129e-06,9.487401327032961e-06,1.2573790967659137e-05,7.154906562406793e-06,0.6466666666666666,0.35333333333333333,0.7066666666666667,194,106,0,106,0.0033333333333333335,"[{""const_opt"": 53.21238473241704, ""dens"": 673803749.1307225, ""key"": ""2015"", ""lml"": 1041.156639075686, ""lml_delta"": -2.0415882318047807e-07, ""ls_opt"": 0.3585438789488137, ""reviewed_lml"": 1041.1566392798447, ""sigma"": 0.0018768777998156997, ""state_sha256"": ""7da189cbe5ee1bf47f16d71fbc528e79a048cee5a4212d876344306868d67606""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,18,300,300,"{""2015"": 1041.156639075686}","{""2015"": 0.3585438789488137}","{""2015"": 53.21238473241704}","{""2015"": ""7da189cbe5ee1bf47f16d71fbc528e79a048cee5a4212d876344306868d67606""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3769,3033,3769
2015,0.038,0.0019300968836813998,0.0019300968836813998,0.1,1.2192184480002683e-05,0.05427224814658087,1.6047697007205641,4.398783465810018e-06,5.043535902714329e-06,6.654200848661837e-06,9.88457947358132e-06,1.350876874339026e-05,7.301919539875626e-06,1.2192184480002683e-05,4.398783465810018e-06,5.043535902714329e-06,6.654200848661837e-06,9.88457947358132e-06,1.350876874339026e-05,7.301919539875626e-06,0.9533333333333334,0.04666666666666667,0.09333333333333334,286,14,0,14,0.0033333333333333335,"[{""const_opt"": 50.346387875625496, ""dens"": 641013054.8399808, ""key"": ""2015"", ""lml"": 1041.0444732019773, ""lml_delta"": 2.2737367544323206e-13, ""ls_opt"": 0.352562264751592, ""reviewed_lml"": 1041.044473201977, ""sigma"": 0.0019300968836813998, ""state_sha256"": ""14e97fbe4d54bc66aef4a61a4a6894c2acfe36a018b5ce8b9712dc626d932bb6""}]",tilde_q_mu,asymptotic,count_scale,sidak_approx,False,2.25,0,False,19,300,300,"{""2015"": 1041.0444732019773}","{""2015"": 0.352562264751592}","{""2015"": 50.346387875625496}","{""2015"": ""14e97fbe4d54bc66aef4a61a4a6894c2acfe36a018b5ce8b9712dc626d932bb6""}",fixed_reviewed_max_lml,0,campaign_local_deterministic_profile_cache_v1,301,3772,3013,3772
